Sampling rate,Time(ns)
9900.0,23626875642
9800.0,23653644517
9700.0,22680929081
9600.0,22164888391
9500.0,22166259510
9400.0,21678389890
9300.0,21229709910
9200.0,20706112924
9100.0,20052915831
9000.0,19875897433
8900.0,19034708134
8800.0,18846949547
8700.0,18482114196
8600.0,17952965252
8500.0,17486288844
8400.0,16970024865
8300.0,16668556154
8200.0,16213389728
8100.0,15979277847
8000.0,15477049436
7900.0,15287800017
7800.0,14723670463
7700.0,14370528451
7600.0,13993002507
7500.0,13684933589
7400.0,13258106990
7300.0,12938514794
7200.0,12572344157
7100.0,12215178313
7000.0,11925136921
6900.0,11680564030
6800.0,11205761110
6700.0,10839044533
6600.0,10530551800
6500.0,10322267093
6400.0,9871794756
6300.0,9684071123
6200.0,9468597094
6100.0,9314147636
6000.0,8781736875
5900.0,8758246224
5800.0,9030602596
5700.0,9262823868
5600.0,8965667007
5500.0,8457148033
5400.0,8311506685
5300.0,7948761582
5200.0,7868954917
5100.0,7554716629
5000.0,7344142553
4900.0,6974010676
4800.0,6843638396
4700.0,6313328501
4600.0,5963530932
4500.0,5883978434
4400.0,5501505404
4300.0,5386871769
4200.0,5080341983
4100.0,4780893761
4000.0,4679580618
3900.0,4236883305
3800.0,4098285152
3700.0,3892700389
3600.0,3747148729
3500.0,3504868520
3400.0,3465835547
3300.0,3068770006
3200.0,2916350100
3100.0,2678886773
3000.0,2509277700
2900.0,2376689939
2800.0,2215751738
2700.0,2127282639
2600.0,2006939024
2500.0,1739192517
2400.0,1651499608
2300.0,1575655307
2200.0,1368593566
2100.0,1232619874
2000.0,1122939782
1900.0,1055793219
1800.0,935613814
1700.0,823911604
1600.0,723668271
1500.0,634808389
1400.0,564424406
1300.0,494520929
1200.0,414233986
1100.0,339698826
1000.0,283691286
900.0,232724788
800.0,178620360
700.0,135304650
600.0,105662068
500.0,71008192
400.0,42568266
300.0,24614689
200.0,10127935
100.0,2685176
